30,77
66,40
14,89
24,82
78,44
99,26
34,65
85,44
4,36
7,83
16,87
40,69
60,80
25,88
47,21
41,2
30,47
3,45
18,35
64,64
2,46
94,18
51,57
30,29
94,32
72,97
98,45
80,46
81,26
31,73
62,35
84,15
44,12
21,27
89,7
14,67
93,50
50,83
96,87
91,59
71,33
55,20
40,96
72,85
29,92
64,84
82,53
1,48
97,95
80,63
53,4
67,19
91,54
85,0
85,71
64,83
7,31
49,30
53,51
40,37
15,8
0,71
19,95
27,2
87,67
70,41
51,38
91,95
9,45
37,98
7,34
3,32
58,46
29,94
41,43
57,89
2,10
47,23
28,15
13,78
62,29
47,10
76,58
82,20
96,15
43,2
92,98
47,37
26,92
34,97
93,14
27,78
44,95
56,53
62,83
19,14
54,51
25,12
41,33
83,89
